Timestamp,Gender,Faculty,Law Program,Bachelor  Academic Year in EU,Masters Academic Year in EU,H.S.C or Equivalent study medium,S.S.C (GPA),H.S.C (GPA),Did you ever attend a Coaching center?,Coaching center name,Benifits you received from the coaching center,1st Year Semester 1,1st Year Semester 2,1st Year Semester 3,2nd Year Semester 1,2nd Year Semester 2,2nd Year Semester 3,3rd Year Semester 1,3rd Year Semester 2,3rd Year Semester 3,4th Year Semester 1,4th Year Semester 2,4th Year Semester 3,Regular/Irregular,Classes are mostly,Area of Evaluation [Department provides comprehensive guidelines to the students in advance by means of a brochure/handbook    ],Area of Evaluation [Department ensures a conducive learning environment],Area of Evaluation [Academic decisions are taken with fairness and transparency],Area of Evaluation [	Academic calendar is maintained properly],Area of Evaluation [Results are published timely in compliance with the ordinance],Area of Evaluation [StudentsÂ’ opinion regarding academic and extra-academic matters are addressed properly],Area of Evaluation [Student feedback process is in practice],Area of Evaluation [Website is informative and updated properly],Area of Evaluation [Curriculum load is optimum and induces no pressure],Area of Evaluation [Courses in the curriculum from lower level to higher are properly arranged],Area of Evaluation [Teaching strategies are clearly stated in the curriculumsparency],Area of Evaluation [Assessment strategies are clearly stated in the curriculum ],Item [Teaching-learning is interactive and supportive ],Item [	Class size is optimum for interactive teaching learning],Item [	Modern devices are used to improve teaching-learning process],Item [Diverse methods are used to achieve learning objectives ],Item [Lesson plans/course outlines are provided in advance to the students ],Item [	All about assessment system are duly communicated to students on the commencement of the term/semester],Item [Assessment system meets the objectives of the course],Item [Diverse methods and tools are used for assessment.],Item [Assessment feedback is provided to the students immediately.],Item [The questions of examinations reflect the content of the course.],"Item [	Both formative (quizzes, assignments, term papers, continuous assessments, presentations etc.) and summative assessment (final examination only) strategies are followed.]",Item [Admission policy ensures entry of quality students.],Item [Admission procedure is quite fair],Item [Sincerity and commitment of the students exist to ensure desired progress and achievement.],Item [Overall classroom facilities are suitable for ensuring effective learning.],Item [Laboratories facilities are suitable for practical teaching-learning and research],Item [The library has adequate up-to-date reading and reference materials to meet the academic & research needs ],Item [Internet facilities with sufficient speed are available],Item [Adequate indoor and outdoor medical facilities are available],Item [Adequate indoor and outdoor game facilities are available],Item [Existing gymnasium facilities are good enough],Item [Adequate safety measures are available],Item [There is an arrangement to provide guidance and counseling. ],Item [Mentoring is done to take care of the students],Item [Scholarships/ grants available to students in case of hardship],Item [Students are encouraged to involve in co- curricular and extra-curricular activities],Item [Alumni are organized and supportive.],Item [Supporting staff are adequate and co-operative],Item [There are opportunities to get involve with community services],Item [The department has a research and development policy ],Item [Mechanism exists for engaging the students in research and development],"Item [Research findings in the form of theses, publications and monographs are properly used in current teaching-learning]",Item [The department has a community service policy ],Q1 [What was your expectation about the University as related to quality of education?],Q2 [What was your expectation about the University as related to quality of Faculty?],Q3 [What was your expectation about the University as related to quality of resources?],Q4 [What was your expectation about the University as related to quality of learning environment?],Q5 [To what extent your expectation was met?],Q6 [What are the best aspects of the program?],"Q7. In your opinion,the best aspect of the program is","Q8. In your opinion,the next best aspect of the program is",What aspects of the program could be improved?,Do you feel that the quality of education improved at EU over the last year?,Do you feel that the image of the University improved over the last year?,Username
2/16/2016 14:27,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,4.44,5.0,No,,,3.18,3.08,3.0,,,,,,,,,,0.0,Lecture & Discussion,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
2/24/2016 13:56,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,3.5,4.4,No,,,3.18,2.98,3.09,,,,,,,,,,0.0,Lecture based,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,Faculty,Teaching/Learning,Teaching/Learning,Yes,Yes,
2/24/2016 13:59,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.75,3.75,Yes,UUC,It allow me to make good friends,,,,,,,,,,,,,0.0,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Overall learning environment,Faculty,Yes,Yes,
2/24/2016 14:01,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.75,3.0,Yes,Wings English learning center,"It prepared me better for the exam, It improved my understanding of subject matter, It increased my desire to learn",,,,,,,,,,,,,0.0,Lecture based,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Overall learning environment,Faculty,Yes,Yes,
2/24/2016 14:24,Female,Law,LL.B (Hons),2nd Year,,Bangla Medium,4.38,4.9,Yes,   UCC,It allow me to make good friends,3.38,3.38,3.38,,,,,,,,,,0.0,Lecture based,4.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,,4.0,Other,Other,"Faculty, Resources, Teaching/Learning, Overall learning environment, Other",No,No,
2/24/2016 15:26,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.69,3.75,No,,,,,,,,,,,,,,,0.0,Lecture based,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,Faculty,Teaching/Learning,Faculty,Yes,Yes,
2/24/2016 16:45,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.5,3.56,Yes,fucous,It improved my understanding of subject matter,,,,,,,,,,,,,0.0,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,,4.0,Teaching/Learning,Overall learning environment,Faculty,Yes,Yes,
2/24/2016 16:47,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,5.0,No,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,Lecture & Discussion,1.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,Teaching/Learning,Overall learning environment,Overall learning environment,,,
2/24/2016 16:48,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.63,4.0,No,,,,,,,,,,,,,,,0.0,Lecture based,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,,,Faculty,,,
2/24/2016 16:51,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,3.5,Yes,retina,It prepared me better for the exam,,,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,3.0,4.0,,3.0,3.0,5.0,,4.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Overall learning environment,Faculty,Yes,Yes,
3/22/2016 12:15,Male,Law,LL.B (Hons),4th Year,,Bangla Medium,3.94,4.9,No,,,2.98,3.0,3.0,3.21,2.75,2.5,3.0,3.25,3.75,3.13,3.5,,0.0,Lecture & Discussion,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,Teaching/Learning,Faculty,Overall learning environment,No,Yes,
3/22/2016 12:33,Male,Law,LL.B (Hons),4th Year,,Bangla Medium,4.13,4.8,No,unidid coaching center uttra,"It prepared me better for the exam, It improved my GPA Score, It improved my understanding of subject matter, It increased my desire to learn",3.32,3.42,3.69,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Other,Faculty,"Faculty, Resources, Overall learning environment",Yes,Yes,
3/22/2016 12:18,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,5.0,5.0,Yes,PARAGON COACHING ,"It prepared me better for the exam, It improved my GPA Score, It improved my understanding of subject matter, It increased my desire to learn, It allow me to make good friends",3.7,3.8,3.5,,,,,,,,,,0.0,Lecture & Discussion,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,,4.0,,4.0,5.0,4.0,4.0,,5.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0,Faculty,Faculty,Other,Yes,Yes,
3/22/2016 12:18,Female,Law,LL.B (Hons),4th Year,,Bangla Medium,4.5,4.0,No,,,3.4,3.0,3.06,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Resources,Teaching/Learning,Other,Yes,Yes,
3/22/2016 12:25,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,4.63,3.8,No,,,3.32,3.27,3.33,,,,,,,,,,0.0,Lecture based,5.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,Faculty,Faculty,"Resources, Overall learning environment",Yes,Yes,
3/22/2016 12:29,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.63,4.5,No,,,3.72,3.64,,,,,,,,,,,0.0,Lecture & Discussion,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,Faculty,Teaching/Learning,Resources,,,
3/22/2016 12:31,Female,Law,LL.B (Hons),3rd Year,,Bangla Medium,5.0,5.0,Yes,ucc,It improved my GPA Score,3.82,3.79,3.69,3.13,3.53,3.88,,,,,,,0.0,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,Faculty,Faculty,Teaching/Learning,Yes,Yes,
3/22/2016 12:31,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.69,4.8,No,,,3.43,3.25,3.25,,,,,,,,,,0.0,Lecture & Discussion,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,Teaching/Learning,Overall learning environment,Other,Yes,Yes,
3/22/2016 12:32,Male,Law,LL.B (Hons),3rd Year,,Bangla Medium,4.75,3.4,No,,,3.18,3.18,3.18,3.25,3.16,,,,,,,,0.0,Lecture & Discussion,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,Teaching/Learning,Teaching/Learning,"Resources, Overall learning environment, Other",Yes,No,
3/22/2016 12:32,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,4.8,No,,,3.53,3.73,,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,Teaching/Learning,Overall learning environment,"Faculty, Resources, Overall learning environment",,,
3/22/2016 12:36,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.19,4.5,Yes,ucc,It improved my understanding of subject matter,3.33,2.98,,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,5.0,3.0,3.0,,3.0,5.0,Faculty,Overall learning environment,"Faculty, Resources, Teaching/Learning, Overall learning environment",,,
3/22/2016 12:41,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.38,3.7,No,,,,,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,3.0,4.0,3.0,5.0,Faculty,Faculty,"Faculty, Resources, Teaching/Learning, Overall learning environment, Other",Yes,Yes,
3/22/2016 12:41,Female,Law,LL.B (Hons),3rd Year,,Bangla Medium,4.25,4.7,Yes,saifur's coaching centre,It allow me to make good friends,3.7,3.94,4.0,3.94,3.94,3.94,,,,,,,0.0,Lecture & Discussion,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,Faculty,Overall learning environment,Teaching/Learning,No,Yes,
3/22/2016 12:41,Female,Law,LL.B (Hons),4th Year,,Bangla Medium,4.69,5.0,Yes,touch stone ,It increased my desire to learn,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.92,4.0,4.0,,,0.0,Lecture & Discussion,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,Faculty,Faculty,Overall learning environment,No,Yes,
3/22/2016 12:45,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.88,3.9,Yes,focus ,It improved my GPA Score,2.73,2.52,,,,,,,,,,,0.0,Lecture based,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,,5.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,5.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,,Teaching/Learning,Resources,"Resources, Teaching/Learning",,,
3/22/2016 12:48,Female,Law,LL.B (Hons),1st Year,,Bangla Medium,4.5,4.3,Yes,potasa coaching,It improved my understanding of subject matter,2.96,2.93,,,,,,,,,,,0.0,Lecture & Discussion,4.0,2.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,Faculty,Teaching/Learning,Overall learning environment,,,
3/22/2016 12:55,Female,Law,LL.B (Hons),1st Year,,Bangla Medium,4.31,3.7,Yes,retina medical coaching,It increased my desire to learn,3.0,3.0,,,,,,,,,,,0.0,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,Faculty,Teaching/Learning,Overall learning environment,Yes,Yes,
